Modelo;Marca;# de Parte;Puertos;Stackeable;Uplink;# Puertos;PoE
SF200-24P;Cisco;SLM224PT-xx;FastEthernet;FALSO;1Gbps;24;VERDADERO
SF200-24;Cisco;SLM224GT-xx ;FastEthernet;FALSO;1Gbps;24;FALSO
2960S-F24TS-S;Cisco;WS-C2960S-F24TS-S;FastEthernet;FALSO;1Gbps;24;FALSO
SF200-48P;Cisco;SLM248PT-xx;FastEthernet;FALSO;1Gbps;48;VERDADERO
SF200-48;Cisco;SLM248GT-xx;FastEthernet;FALSO;1Gbps;48;FALSO
2960S-F48TS-S;Cisco;WS-C2960S-F48TS-S;FastEthernet;FALSO;1Gbps;48;FALSO
2960S-F24PS-L****;Cisco;WS-C2960S-F24PS-L;FastEthernet;VERDADERO;1Gbps;24;VERDADERO
2960S-F24TS-L****;Cisco;WS-C2960S-F24TS-L;FastEthernet;VERDADERO;1Gbps;24;FALSO
2960S-F48LPS-L****;Cisco;WS-C2960S-F48LPS-L;FastEthernet;VERDADERO;1Gbps;48;VERDADERO
2960S-F48FPS-L****;Cisco;WS-C2960S-F48FPS-L;FastEthernet;VERDADERO;1Gbps;48;VERDADERO
2960S-F48TS-L****;Cisco;WS-C2960S-F48TS-L;FastEthernet;VERDADERO;1Gbps;48;FALSO
SG200-26P;Cisco;SLM2024PT-xx;GigabitEthernet;FALSO;1Gbps;24;VERDADERO
2960X-24PSQ-L;Cisco;WS-C2960X-24PSQ-L;GigabitEthernet;FALSO;1Gbps;24;VERDADERO
SG200-26;Cisco;SLM2024PT-xx;GigabitEthernet;FALSO;1Gbps;24;FALSO
2960S-24TS-S;Cisco;WS-C2960S-24TS-S;GigabitEthernet;FALSO;1Gbps;24;FALSO
2960X-24TS-LL;Cisco;WS-C2960X-24TS-LL;GigabitEthernet;FALSO;1Gbps;24;FALSO
SG200-50P;Cisco;SLM2048PT-xx;GigabitEthernet;FALSO;1Gbps;48;VERDADERO
SG200-50;Cisco;SLM2048T-xx;GigabitEthernet;FALSO;1Gbps;48;VERDADERO
2960S-24TS-S;Cisco;WS-C2960S-24TS-S;GigabitEthernet;FALSO;1Gbps;48;VERDADERO
2960X-48TS-LL;Cisco;WS-C2960X-48TS-LL;GigabitEthernet;FALSO;1Gbps;48;VERDADERO
2960S-24PS-L*;Cisco;WS-C2960S-24PS-L;GigabitEthernet;VERDADERO;1Gbps;24;VERDADERO
2960X-24PS-L***;Cisco;WS-C2960X-24PS-L;GigabitEthernet;VERDADERO;1Gbps;24;VERDADERO
2960S-24TS-L*;Cisco;WS-C2960S-24TS-L;GigabitEthernet;VERDADERO;1Gbps;24;FALSO
